nutsid,region,code,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
UKF16,South Nottinghamshire,C32N,"2,661","2,710","2,978","3,223","3,293","3,509","3,653","3,642","4,311","4,584","4,631","4,626","4,638","4,631","4,713","4,785","5,025"
UKF2,"Leicestershire, Rutland and Northamptonshire",AEM6,"20,054","20,580","20,423","21,988","22,460","23,400","25,626","27,108","28,528","30,209","32,238","32,733","32,159","33,686","33,870","34,483","35,569"
UKF21,Leicester,C32O,"4,034","4,184","4,083","4,515","4,578","4,845","5,200","5,391","5,560","6,032","5,974","6,044","6,013","6,194","6,368","6,552","6,873"
UKF22,Leicestershire CC and Rutland,C32P,"7,929","8,218","7,477","7,987","8,471","8,857","9,862","10,561","11,291","11,869","12,806","12,953","12,783","13,225","13,209","13,604","13,875"
UKF24,West Northamptonshire,KT46,"4,802","4,855","5,294","5,700","5,627","5,765","6,331","6,698","7,013","7,380","8,095","8,203","7,976","8,567","8,478","8,667","8,937"
UKF25,North Northamptonshire,KT47,"3,289","3,322","3,570","3,786","3,783","3,933","4,232","4,457","4,663","4,927","5,362","5,533","5,386","5,700","5,816","5,661","5,884"
UKF3,Lincolnshire,AEM7,"6,668","6,845","6,665","6,952","7,692","8,177","9,099","8,846","9,243","10,075","10,597","10,939","10,651","11,190","11,642","11,805","12,007"
UKF30,Lincolnshire,C32R,"6,668","6,845","6,665","6,952","7,692","8,177","9,099","8,846","9,243","10,075","10,597","10,939","10,651","11,190","11,642","11,805","12,007"
UKG,West Midlands,TMQA,"63,072","66,562","69,483","71,202","73,026","76,850","80,942","86,281","89,292","94,099","96,917","98,016","94,872","100,208","102,938","106,608","110,246"
UKG1,"Herefordshire, Worcestershire and Warwickshire",AEM8,"13,870","14,611","16,469","16,615","16,648","17,080","18,749","20,368","20,979","23,181","23,091","23,519","22,879","24,069","25,101","26,449","26,848"
UKG11,"Herefordshire, County of",C32S,"1,728","1,722","1,953","2,015","2,064","2,085","2,342","2,505","2,598","2,843","2,963","3,124","2,918","3,022","3,218","3,472","3,337"
UKG12,Worcestershire,C32T,"5,150","5,764","6,743","7,104","6,929","6,777","7,765","8,712","8,585","9,407","9,089","9,039","8,815","9,420","9,884","10,390","10,559"
UKG13,Warwickshire,C32U,"6,992","7,125","7,774","7,495","7,654","8,219","8,642","9,151","9,797","10,931","11,039","11,356","11,146","11,627","11,999","12,586","12,952"
UKG2,Shropshire and Staffordshire,AEM9,"16,037","17,101","17,148","17,560","17,940","19,344","20,449","22,048","22,596","23,937","24,841","25,335","24,254","25,337","26,328","26,993","27,712"
UKG21,Telford and Wrekin,C32V,"2,174","2,273","2,220","2,228","2,290","2,545","2,552","2,757","2,815","3,011","3,174","3,248","2,980","3,069","3,247","3,390","3,475"
UKG22,Shropshire CC,C32W,"2,802","2,961","3,062","3,180","3,282","3,650","3,934","4,293","4,341","4,393","4,482","4,810","4,812","4,921","5,182","5,408","5,510"
UKG23,Stoke-on-Trent,C32X,"2,871","2,991","2,982","3,008","2,953","2,966","3,331","3,451","3,462","3,707","3,682","3,861","3,745","4,078","4,237","4,583","4,628"
UKG24,Staffordshire CC,C32Y,"8,190","8,877","8,884","9,145","9,415","10,184","10,633","11,546","11,977","12,826","13,503","13,416","12,717","13,269","13,663","13,612","14,099"
UKG3,West Midlands,AEN2,"33,165","34,851","35,866","37,027","38,438","40,425","41,744","43,865","45,718","46,981","48,986","49,162","47,739","50,802","51,510","53,166","55,686"
UKG31,Birmingham,C32Z,"13,050","14,024","14,699","15,208","16,281","16,632","17,624","18,125","19,038","19,214","20,536","21,015","20,646","21,557","22,230","22,708","24,067"
UKG32,Solihull,C332,"3,240","3,407","3,379","3,260","3,391","3,881","4,207","4,392","4,599","4,938","5,152","4,888","4,749","4,883","4,891","5,342","5,310"
UKG33,Coventry,C333,"4,471","4,437","4,759","4,899","5,032","5,229","5,370","5,707","5,888","5,819","5,917","5,928","5,788","6,218","6,186","6,406","6,765"
UKG36,Dudley,KT48,"3,264","3,390","3,385","3,553","3,583","3,960","3,894","4,097","4,329","4,528","4,720","4,628","4,297","4,532","4,407","4,327","4,567"
UKG37,Sandwell,KT49,"3,579","3,722","3,583","3,765","3,796","4,077","4,037","4,257","4,401","4,714","4,927","4,884","4,678","5,236","5,175","5,555","5,710"
UKG38,Walsall,KT4A,"2,635","2,788","2,857","2,989","2,982","3,100","3,075","3,388","3,465","3,595","3,564","3,632","3,528","3,899","4,046","4,051","4,348"
UKG39,Wolverhampton,KT4B,"2,925","3,084","3,205","3,352","3,373","3,546","3,537","3,898","3,998","4,173","4,170","4,189","4,053","4,476","4,575","4,777","4,917"
UKH,East of England,DGPH,"69,675","72,986","75,243","80,743","84,479","88,726","96,444","99,254","104,368","111,100","115,472","119,363","116,632","121,346","123,075","126,296","130,378"
UKH1,East Anglia,AEN3,"27,681","28,394","29,274","31,076","32,967","34,373","37,036","38,830","40,712","45,521","46,690","47,878","46,885","49,214","50,170","51,898","53,222"
UKH11,Peterborough,C336,"2,569","2,598","2,709","2,752","2,856","3,072","3,318","3,545","3,735","4,336","4,647","4,406","4,523","4,714","4,613","4,786","4,972"
UKH12,Cambridgeshire CC,C337,"7,592","7,965","8,509","9,112","9,753","10,137","10,744","11,109","11,936","13,337","14,244","14,674","14,142","15,183","15,683","16,337","16,529"
UKH13,Norfolk,C338,"9,159","9,435","9,814","10,090","10,717","11,039","12,105","12,658","13,473","14,970","14,751","15,069","14,937","15,252","15,530","16,179","16,547"
UKH14,Suffolk,C339,"8,360","8,396","8,241","9,122","9,641","10,125","10,870","11,518","11,569","12,878","13,048","13,729","13,282","14,065","14,345","14,596","15,174"
UKH2,Bedfordshire and Hertfordshire,AEN4,"23,553","25,775","26,929","28,968","29,819","31,541","33,275","33,979","36,624","37,016","38,607","41,118","39,897","40,427","40,791","41,905","43,660"
UKH21,Luton,C33A,"2,611","2,710","2,917","3,042","3,195","3,497","3,771","3,498","3,943","4,442","4,723","5,112","4,882","4,527","4,581","4,232","4,505"
UKH23,Hertfordshire,C33C,"16,509","18,344","19,339","20,898","21,529","22,484","23,460","24,138","26,020","25,946","26,780","28,821","27,760","28,393","28,117","29,267","30,416"
UKH24,Bedford,KT4C,"1,839","1,972","1,968","2,110","2,140","2,348","2,570","2,692","2,836","2,819","3,018","3,036","3,165","3,268","3,453","3,476","3,575"
UKH25,Central Bedfordshire,KT4D,"2,593","2,749","2,705","2,919","2,955","3,212","3,474","3,651","3,826","3,809","4,086","4,150","4,090","4,238","4,641","4,930","5,165"
UKH3,Essex,AEN5,"18,442","18,818","19,039","20,698","21,692","22,812","26,133","26,445","27,032","28,563","30,174","30,367","29,851","31,705","32,113","32,492","33,496"
UKH31,Southend-on-Sea,C33D,"1,814","1,839","1,885","2,106","2,123","2,277","2,481","2,481","2,380","2,498","2,650","2,816","2,739","2,853","2,756","2,844","2,873"
UKH32,Thurrock,C33E,"1,960","2,068","1,929","1,962","1,981","2,082","2,402","2,587","2,476","2,625","2,485","2,514","2,706","2,608","2,799","2,591","2,787"
UKH33,Essex CC,C33F,"14,668","14,911","15,225","16,630","17,589","18,453","21,250","21,376","22,176","23,439","25,039","25,037","24,406","26,244","26,558","27,058","27,835"
UKI,London,DGPI,"148,480","158,669","166,474","181,753","186,745","195,014","208,373","220,379","239,120","250,320","273,162","286,296","282,100","295,658","314,906","325,613","338,475"
UKI1,Inner London,AEN6,"93,060","99,149","103,492","115,474","120,485","125,923","135,642","144,812","160,238","167,786","185,322","195,143","195,484","205,494","220,142","228,830","237,356"
UKI11,Inner London - West,C33G,"64,324","68,660","71,387","78,356","81,111","85,498","91,918","95,411","106,298","110,770","121,566","128,908","127,952","135,544","141,135","148,061","150,701"
UKI12,Inner London - East,C33H,"28,736","30,489","32,105","37,118","39,374","40,425","43,724","49,402","53,940","57,016","63,755","66,235","67,531","69,950","79,007","80,769","86,655"
UKI2,Outer London,AEN7,"55,420","59,520","62,983","66,279","66,259","69,091","72,731","75,567","78,882","82,534","87,840","91,153","86,616","90,164","94,764","96,783","101,119"
UKI21,Outer London - East and North East,C33I,"14,503","15,329","15,850","16,743","17,217","18,494","19,982","20,867","21,252","21,578","22,724","23,339","22,441","23,848","24,882","25,843","26,689"
UKI22,Outer London - South,C33J,"12,972","14,078","15,437","15,683","15,322","16,291","17,252","18,015","19,141","20,491","21,562","21,190","20,598","20,906","21,194","21,694","22,675"
UKI23,Outer London - West and North West,C33K,"27,944","30,114","31,696","33,853","33,720","34,306","35,497","36,685","38,490","40,465","43,554","46,624","43,578","45,410","48,687","49,246","51,756"
UKJ,South East,DGPJ,"115,751","123,190","130,355","137,300","143,594","152,855","160,903","164,751","172,830","182,310","191,438","198,781","195,512","207,028","211,607","220,947","227,232"
UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",AEN8,"37,886","41,384","44,203","46,389","47,319","51,352","55,268","56,220","58,955","60,802","63,830","65,766","65,031","68,772","72,740","74,918","77,155"
UKJ11,Berkshire,C33L,"17,315","18,988","20,706","21,068","21,511","23,668","25,294","25,260","27,761","28,452","29,433","29,975","29,311","30,740","32,721","33,406","34,187"
UKJ12,Milton Keynes,C33M,"4,130","4,334","4,661","4,977","5,292","5,798","6,391","6,502","6,483","6,951","7,696","8,106","7,883","8,675","9,321","9,269","9,724"
UKJ13,Buckinghamshire CC,C33N,"7,273","7,919","8,123","9,114","9,091","9,365","10,050","10,873","10,771","10,862","11,437","12,099","12,077","12,592","12,907","13,732","14,083"
UKJ14,Oxfordshire,C33O,"9,167","10,143","10,713","11,230","11,425","12,522","13,533","13,585","13,940","14,536","15,264","15,585","15,760","16,766","17,791","18,511","19,161"
UKJ2,"Surrey, East and West Sussex",AEN9,"35,977","37,655","40,813","43,689","45,467","47,223","49,814","50,145","51,959","56,280","58,762","61,258","60,236","63,907","63,494","68,215","69,895"
UKJ21,Brighton and Hove,C33P,"3,198","3,188","3,285","3,573","4,058","4,345","4,676","4,628","4,889","5,001","5,489","5,622","5,628","5,767","5,828","6,105","6,389"
UKJ22,East Sussex CC,C33Q,"4,696","4,709","4,851","5,235","5,543","5,716","5,928","6,209","6,593","7,065","7,118","7,634","7,505","7,917","8,037","8,445","8,392"
UKJ23,Surrey,C33R,"17,689","18,859","21,355","22,940","23,001","23,667","25,530","25,036","26,102","28,197","29,935","31,258","30,100","31,905","31,905","34,656","35,266"
UKJ24,West Sussex,C33S,"10,394","10,900","11,322","11,942","12,865","13,496","13,680","14,272","14,375","16,018","16,220","16,744","17,003","18,318","17,724","19,009","19,848"
UKJ3,Hampshire and Isle of Wight,AEO2,"24,331","25,724","26,315","27,672","30,094","31,808","32,248","33,822","35,222","37,889","40,292","41,686","41,198","43,631","43,946","45,266","46,665"
UKJ31,Portsmouth,C33T,"3,092","3,236","3,161","3,292","3,764","3,922","3,902","4,049","4,057","4,248","4,517","4,739","4,594","5,141","4,787","5,042","5,177"
UKJ32,Southampton,C33U,"3,650","3,791","3,705","3,626","3,968","4,335","4,481","4,687","4,911","5,040","5,437","5,159","4,987","5,006","5,045","5,147","5,612"
UKJ33,Hampshire CC,C33V,"16,532","17,625","18,293","19,386","20,910","22,051","22,344","23,604","24,623","26,748","28,493","29,764","29,643","31,428","32,002","32,902","33,755"
UKJ34,Isle of Wight,C33W,"1,056","1,072","1,157","1,369","1,451","1,500","1,521","1,482","1,630","1,854","1,846","2,023","1,974","2,056","2,113","2,175","2,121"
